seed,offset,ibd_f1,cusum_f1,delta,ibd_positive_fraction,cusum_positive_fraction,ibd_conf_false,cusum_conf_false
5088,1000,0.0,0.0,0.0,0.0,0.0,0.18947756042638148,0.28322261202756555
5089,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.1894775604263815,0.28322261202756555
5089,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5089,1000,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5090,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.2670708969878933,0.28322261202756555
5090,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.20152328429704874,0.28322261202756555
5090,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5091,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5091,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
5091,1000,0.0,0.0,0.0,0.0,0.0,0.18370923392705824,0.28322261202756555
5092,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5092,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.20092785710771732,0.28322261202756555
5092,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5093,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5093,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5093,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5094,200,0.0,0.0,0.0,0.0,0.0,0.18370923392705824,0.28322261202756555
5094,500,0.0,0.0,0.0,0.0,0.0,0.18370923392705824,0.28322261202756555
5094,1000,0.8,0.0,0.8,0.08333333333333333,0.0,0.18370923392705824,0.28322261202756555
5095,200,0.0,0.0,0.0,0.0,0.0,0.18947756042638148,0.28322261202756555
5095,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5095,1000,0.0,0.0,0.0,0.0,0.0,0.2762186048678221,0.28322261202756555
5096,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.2147146687777492,0.28322261202756555
5096,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.19236172367604312,0.28322261202756555
5096,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5097,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5097,500,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5097,1000,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5098,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5098,500,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5098,1000,0.0,0.0,0.0,0.0,0.0,0.19274611680382153,0.28322261202756555
5099,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
