nx,tau,confounder,seed,auc_ibd,auc_comparator,delta_auc,positives,channels
30,2,present,107,0.9583333333333334,0.05952380952380952,0.8988095238095238,2,44
30,2,present,108,0.8154761904761905,0.35714285714285715,0.4583333333333333,2,44
30,2,present,109,1.0,0.5952380952380952,0.40476190476190477,2,44
30,2,present,110,0.9523809523809523,0.05952380952380952,0.8928571428571428,2,44
30,2,present,111,0.9880952380952381,0.5238095238095238,0.4642857142857143,2,44
30,2,present,112,0.7797619047619048,0.6428571428571429,0.13690476190476186,2,44
30,2,present,113,0.9642857142857143,0.047619047619047616,0.9166666666666667,2,44
30,2,present,114,0.9940476190476191,0.08333333333333333,0.9107142857142857,2,44
30,2,present,115,0.6607142857142857,0.11904761904761904,0.5416666666666666,2,44
30,2,present,116,1.0,0.047619047619047616,0.9523809523809523,2,44
30,2,present,117,1.0,0.5595238095238095,0.44047619047619047,2,44
30,2,present,118,0.6071428571428571,0.6428571428571429,-0.03571428571428581,2,44
30,2,present,119,1.0,0.2261904761904762,0.7738095238095238,2,44
30,2,present,120,0.9880952380952381,0.5595238095238095,0.4285714285714286,2,44
30,2,present,121,0.9821428571428571,0.2857142857142857,0.6964285714285714,2,44
30,2,present,122,0.48214285714285715,0.047619047619047616,0.43452380952380953,2,44
30,2,present,123,0.5833333333333334,0.30952380952380953,0.27380952380952384,2,44
30,2,present,124,0.8869047619047619,0.13095238095238096,0.7559523809523809,2,44
30,2,present,125,1.0,0.047619047619047616,0.9523809523809523,2,44
30,2,present,126,1.0,0.5952380952380952,0.40476190476190477,2,44
30,2,present,127,0.5476190476190477,0.5476190476190477,0.0,2,44
30,2,present,128,0.9940476190476191,0.4642857142857143,0.5297619047619048,2,44
30,2,present,129,1.0,0.30952380952380953,0.6904761904761905,2,44
30,2,present,130,0.8869047619047619,0.38095238095238093,0.5059523809523809,2,44
30,2,present,131,0.9880952380952381,0.6309523809523809,0.3571428571428572,2,44
30,2,present,132,1.0,0.047619047619047616,0.9523809523809523,2,44
30,2,present,133,0.9523809523809523,0.5595238095238095,0.3928571428571428,2,44
30,2,present,134,0.8571428571428571,0.13095238095238096,0.7261904761904762,2,44
30,2,present,135,0.9464285714285714,0.09523809523809523,0.8511904761904762,2,44
30,2,present,136,0.8392857142857143,0.17857142857142858,0.6607142857142857,2,44
30,2,present,137,0.4642857142857143,0.16666666666666666,0.29761904761904767,2,44
30,2,present,138,0.7023809523809523,0.2619047619047619,0.4404761904761904,2,44
30,2,present,139,0.9702380952380952,0.38095238095238093,0.5892857142857143,2,44
